artist_id,name,popularity,followers
5D9NYfOaGxFKCalJIeia1N,Atlantic Holiday,27,1309
7r2lG8Ui6vGHAgsKlE8Hd8,Pete Shelley,28,16803
0TPlgv7eySSCChc2vKRIml,Ken Lane Singers,28,151
0RttOiRAmjz06ug0WAsD4i,Collegium Musicum 90,28,2149
6cStgiv1qH5z6GYrFsjuGj,Toya,28,6625
31BLZAIf5FNCUAl2IJ6PKh,Jonell,28,2630
5YfHAR9oWkNkUFcqjHfyWn,Traknox,28,285
4kL2OPLMiNMXhojqQSNkUQ,Benzino,28,14998
3gHXLeb9xeEGgIDiJk0pFa,Young B,28,1793
3BMbiYi3XahOvSkppnMCIO,Silver Screen Superstars,28,1315
04V6nCBJq5l3f5Ucdptw5R,Original Hit Makers,28,401
5UHeeAHp48bScX1RfoUt8m,Artists Stand Up To Cancer,28,3401
1feuQE7d9izI54MoL5Lc7t,Brooke White,28,10971
4lmpEOYpB8yNe8buBDP5vF,The White Tie Affair,28,38767
67oiK9STe75g3hNiUFyaRo,Rej3ctz,28,31096
7jbs0Cj0Yxme5JFmAIi9Dx,Jermaine Cole,28,334
2wr9il91kGyzsfs4ypVr02,DLOW,28,28904
0WsQby2bU6kzZcvikYRdms,IMx,29,14202
5xqbOE3oE6zBEMfpJ3B4MD,Ed Seay,29,124
1DMUoszTJYruOq4wfJPLSB,Drama,29,7699
61mwtI8FCpYa9G2NuThRhI,Lil' Zane,29,55784
2ol0baiyjfNxqzzNhXTykx,Florida Orchestra,29,297
1dqyvasqrPO2j7VS8TOxDl,Benzi,29,14125
3p3U04w2DaiBzuYMZnYr00,JC Chasez,29,57750
0TdVfGLdRvipwvY9vyBvFr,Choppa Style,29,55204
52karaTYZPcUZRPr3zy3X4,Def Squad,29,124546
2CMP2czDER8nvmcGhKeHPC,The London Theatre Orchestra,29,1612
2UtIeAxtrsrRM0sV7Q8cJm,HollyHood Bay Bay,29,1813
116v5BJngSpJcXNml0OPeu,Cast of Shake It Up: Break It Down,29,85700
25JN9vPFGeYAhoaYyVGuwC,Tony Lucca,29,13011
1nf0nRF0W4ybnJdda00pKY,The Swon Brothers,29,40812
3IESHH5zmPjfKwiWuCXPqV,Dave Days,29,21075
3tgurcCC4NE9Vri1AzDbZV,Catherine Dunn,29,136
69UfPJgUmFFAVT740qGVZi,Ken Darby Singers,30,640
7k3GF3VHILrnDdAZ7huizi,Make It Hot,30,170
24VF2kZrBFn1WvJ5oF1SRf,Chad Brock,30,43299
6OqQbeNe7Pi7Zi7SNTi9ko,Billy Gilman,30,24409
60h3lZFY2T93K7qxVPrajf,Jimmy Wayne,30,70599
1E2yfiKaUFBKGIFxdv2xTD,Amy Irving,30,1419
42ixlNBiGltfY51zEN1adX,Charles Fleischer,30,394
0napPQNzPhwVmVM6AMNfAx,Skip,30,2045
7vLu2NhNt1ckcamyvJZLRq,FatCat,30,1808
6Mox9P9U7HpuAd9ULwvP7N,Teairra Marí,30,280047
3xRMVGNbcAVShBZ26t2Bm5,LaLa Brown,30,415
2skahWK8IOGB6oBCbR2e7D,Scar,30,1606
2Q07VeywZl1U7Zbywcq30i,Hushabye Baby,30,4085
2fHzyk5XmAMsYzJeT7xM8Q,Union Of Sound,30,6370
3flTDj1VSZCktpBGZlNutt,Javier Colon,30,17659
04T7QEqAiQBW12loi1g2CO,Vox Freaks,30,3114
5RQqbE8uh2NwotXk6wvYa6,Ricegum,30,296060
0gYPvqw2BViDJAm45jOYPG,Louis Frémaux,31,332
1jcELLsqeruwbr9fafs2VI,Chair Model,31,3106
32zXZpxwb2bq7oGzAhe1Ii,Irving Berlin,31,31853
6x9fdTmlcJVJtChlLgT1G3,Steve Azar,31,19336
05BMTFbYu3UZ61SYiu7mTg,BLVD.,31,5501
2hfPo38uVGaKcxfOpqJwf8,Aaries,31,1094
7cwm843vv3YM0XvGAf5zgL,Angel City,31,8384
0yqDXjskTQI1nj9bH6W9Ze,Brooke Valentine,31,275483
2B4ZTS4hFT3IrUFVPHjEmL,Brooke Hogan,31,136150
4tHqkqP0DCD8Ek5OPvYTzH,Audio Idols,31,3948
2h1hD8R5Y4eaxsL80EKiPm,Big Poppa,31,13193
5Gc3IYdgY3PVcuf8FPMxDI,Dolla,31,18792
0omFWrLn7oQeN8BuSOcP1P,Shanell,31,4644
6dse9FDodKw65ZQoLjE5F1,Nick Jonas & The Administration,31,720894
2LuUALONla8DJRSCiGONBp,Diggy,31,110767
6y1ruSFWowWNYPH34u9Nif,Gwen Sebastian,31,4077
2WCSTqqMwguiIpPSzuE5UF,Rich Kidz,31,76255
7bkdi7f1mxyYxWcBlwON4s,The Throne,31,27
3an8oUQQJYhvsqS59GQrqR,Kevon Edmonds,32,126986
